Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons),Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2012,Adair,12.0,1557206,6642836,4078004,691006.0,0.0,9.12
2012,Allamakee,15.0,1479566,6239864,2077975,50642.0,0.0,8.12
2012,Appanoose,15.0,833572,4780801,1089620,466752.0,0.0,8.93
2012,Audubon,8.0,346217,2232881,777764,859692.0,0.0,10.37
2012,Benton,26.0,2669341,7896317,5596755,1581181.0,0.0,8.26
2012,Black Hawk,69.0,10151267,49686355,8471327,17694145.0,0.0,10.74
2012,Boone,13.0,1266317,8606144,1793978,300962.0,0.0,8.89
2012,Bremer,15.0,2072919,9323327,2723748,78303.0,0.0,8.21
2012,Buchanan,17.0,1472987,7624165,1895849,1318177.0,0.0,8.67
2012,Buena Vista,27.0,1268469,8740143,5878092,239039.0,0.0,9.24
2012,Butler,15.0,981776,5523329,1244062,1388564.0,0.0,9.39
2012,Calhoun,19.0,549472,3877823,1403975,0.0,0.0,8.85
2012,Carroll,26.0,2294422,7502374,8033765,10472.0,0.0,8.34
2012,Cass,16.0,965237,6884581,1893878,408929.0,0.0,9.4
2012,Cedar,20.0,1692805,8451964,3786368,12823092.0,0.0,10.63
2012,Cerro Gordo,30.0,5681692,25977015,1729405,17887978.0,0.0,14.2
2012,Cherokee,14.0,933621,4002457,1638504,424457.0,0.0,8.9
2012,Chickasaw,13.0,1267598,5606321,2622316,1753935.0,0.0,10.06
2012,Clarke,9.0,1572169,5984991,1912738,8667042.0,0.0,18.13
2012,Clay,27.0,1089858,7207551,2452962,687184.0,0.0,10.71
2012,Clayton,25.0,2037360,7680689,1579823,357371.0,0.0,8.26
2012,Clinton,32.0,2996135,24010504,10200082,77856.0,0.0,9.1
2012,Crawford,15.0,1549150,5408633,4486506,1065.0,0.0,8.61
2012,Dallas,38.0,6534785,32132701,5395258,3231092.0,0.0,9.13
2012,Davis,5.0,308569,1728120,562705,0.0,0.0,8.48
2012,Decatur,6.0,759189,2466651,334745,171968.0,0.0,9.36
2012,Delaware,15.0,1538054,7092971,2238391,1225101.0,0.0,9.34
2012,Des Moines,21.0,3215899,12679951,1332314,374808.0,0.0,8.09
2012,Dickinson,25.0,3234543,6750477,1742488,244036.0,0.0,7.67
2012,Dubuque,70.0,15531979,36254336,7427252,4139469.0,0.0,7.74
2012,Emmet,12.0,704860,4055984,1136881,1127937.0,0.0,10.4
2012,Fayette,22.0,1208883,7446643,16784033,86558.0,0.0,9.74
2012,Floyd,16.0,1646468,6095976,4773186,209650.0,0.0,9.14
2012,Franklin,16.0,537699,4518010,4013627,377288.0,0.0,9.83
2012,Fremont,9.0,891149,3401612,2327073,144288.0,0.0,8.67
2012,Greene,11.0,382937,3348322,1367208,0.0,0.0,8.97
2012,Grundy,15.0,1133621,5964334,5118353,2212784.0,0.0,9.74
2012,Guthrie,14.0,604341,4022198,1196253,0.0,0.0,9.15
2012,Hamilton,20.0,1427208,6723465,4283346,3100020.0,0.0,10.38
2012,Hancock,12.0,644841,2981122,3081546,29606.0,0.0,8.81
2012,Hardin,25.0,1468873,8230164,5608991,56928.0,0.0,8.51
2012,Harrison,19.0,1645477,5821607,3368393,218297.0,0.0,8.08
2012,Henry,19.0,1092549,6002810,1004261,122595.0,0.0,10.01
2012,Howard,11.0,795343,3873388,2232796,521192.0,0.0,9.09
2012,Humboldt,14.0,655841,3534046,3162501,93418.0,0.0,9.42
2012,Ida,12.0,562577,2772357,1639017,184877.0,0.0,10.16
2012,Iowa,18.0,2072473,7620685,2407957,657696.0,0.0,8.72
2012,Jackson,21.0,1312341,6348707,4011483,28434.0,0.0,8.29
2012,Jasper,31.0,2835227,15821048,10659964,5629675.0,0.0,10.28
2012,Jefferson,16.0,1414695,4640041,1825906,1135771.0,0.0,9.7
2012,Johnson,58.0,10298519,37749378,4255971,5412388.0,0.0,9.0
2012,Jones,15.0,1421013,6798840,2957325,0.0,0.0,8.25
2012,Keokuk,12.0,682455,3902198,1032105,1725764.0,0.0,11.1
2012,Kossuth,19.0,1270029,7269037,9887029,449781.0,0.0,9.34
2012,Lee,22.0,3706491,12648734,4356936,117750.0,0.0,7.84
2012,Linn,94.0,15088079,77556050,10280258,3474734.0,0.0,9.22
2012,Louisa,9.0,545334,3722812,1043704,728969.0,0.0,9.75
2012,Lucas,9.0,607300,2680240,225795,2261069.0,0.0,10.35
2012,Lyon,14.0,1463794,5120440,2796418,21887.0,0.0,8.35
2012,Madison,12.0,1312982,7006617,6490062,1625706.0,0.0,9.84
2012,Mahaska,17.0,1048350,9175895,3230774,2682976.0,0.0,11.07
2012,Marion,28.0,1627390,12489086,1944501,201063.0,0.0,9.18
2012,Marshall,26.0,3017930,11734314,3129217,1241.0,0.0,7.93
2012,Mills,10.0,1325756,4467163,1557310,159446.0,0.0,7.92
2012,Mitchell,12.0,916146,3354310,689483,0.0,0.0,8.12
2012,Monona,13.0,1415499,4833112,4166855,1013991.0,0.0,9.54
2012,Monroe,7.0,454021,3039040,123427,0.0,0.0,8.7
2012,Montgomery,9.0,706686,2763640,947371,0.0,0.0,8.16
2012,Muscatine,23.0,2361789,13504308,3294952,128316.0,0.0,8.69
2012,OBrien,23.0,1594052,5888274,4205427,286830.0,0.0,8.72
2012,Osceola,10.0,405917,2045239,2669896,20324.0,0.0,8.73
2012,Page,10.0,979351,4901000,725455,464481.0,0.0,8.89
2012,Palo Alto,16.0,683998,4006874,4081513,0.0,0.0,9.44
2012,Plymouth,18.0,3501862,9565952,13129847,1290553.0,0.0,8.16
2012,Pocahontas,8.0,456479,2666905,5374847,299837.0,0.0,8.96
2012,Polk,183.0,40079583,173243607,29642234,57297506.0,0.0,11.67
2012,Pottawattamie,53.0,10621562,35671029,8570147,25960835.0,0.0,11.78
2012,Poweshiek,20.0,3359865,10744859,11399116,12097099.0,0.0,17.45
2012,Ringgold,6.0,231539,1273918,2084618,0.0,0.0,8.46
2012,Sac,18.0,974303,4486690,2315537,4506.0,0.0,8.22
2012,Scott,96.0,12999272,98638931,5462876,48654908.0,0.0,14.5
2012,Shelby,14.0,1092917,3503746,4431169,1255589.0,0.0,9.69
2012,Sioux,33.0,3654857,9715339,9665805,4893488.0,0.0,11.15
2012,Story,45.0,7279851,32795953,2416770,2151442.0,0.0,8.96
2012,Tama,19.0,1247825,5672438,3879700,22351.0,0.0,8.36
2012,Taylor,7.0,383788,1991594,1333320,0.0,0.0,9.17
2012,Union,13.0,798652,4929075,1200698,0.0,0.0,8.61
2012,Van Buren,9.0,480380,2149270,722050,76885.0,0.0,8.37
2012,Wapello,26.0,5992013,23701538,7694074,3719248.0,0.0,8.98
2012,Warren,28.0,2896628,20157670,1140767,1278944.0,0.0,9.49
2012,Washington,23.0,2499966,10278566,4056953,9747556.0,0.0,14.25
2012,Wayne,9.0,395895,1966067,138655,596435.0,0.0,8.98
2012,Webster,36.0,2061402,15814277,3497435,100661.0,0.0,9.26
2012,Winnebago,18.0,1045676,4286587,2302093,17350.0,0.0,8.51
2012,Winneshiek,19.0,1810048,7993616,5111052,233805.0,0.0,8.28
2012,Woodbury,61.0,11565782,36811550,7736870,1840817.0,0.0,8.26
2012,Worth,9.0,1402286,3938226,684761,259865.0,0.0,8.0
2012,Wright,23.0,1137896,4829875,2975180,165688.0,0.0,7.57
2013,Adair,12.0,1591221,6893421,4153996,429577.0,0.0,9.85
2013,Allamakee,19.0,1532728,6239247,1829744,639669.0,0.0,11.64
2013,Appanoose,15.0,748360,4617147,1386849,401997.0,0.0,8.44
2013,Audubon,8.0,295098,2211311,1086490,1169712.0,0.0,9.01
2013,Benton,22.0,2612191,8888471,3620650,1401110.0,0.0,11.15
2013,Black Hawk,68.0,9951778,46035760,7339163,17481975.0,0.0,8.5
2013,Boone,14.0,1270992,8692158,2588025,383616.0,0.0,11.1
2013,Bremer,14.0,2200692,9229073,2768021,44154.0,0.0,9.01
2013,Buchanan,18.0,1553953,6846580,1762984,1290416.0,0.0,8.09
2013,Buena Vista,22.0,1090070,8321688,5262762,0.0,0.0,8.5
2013,Butler,12.0,996515,5132022,959080,1224802.0,0.0,9.26
2013,Calhoun,11.0,689001,4737016,2684438,0.0,0.0,11.76
2013,Carroll,24.0,1962491,7573010,8642857,85448.0,0.0,8.73
2013,Cass,18.0,1130883,7693066,4032158,116206.0,0.0,9.05
2013,Cedar,19.0,1611468,7925744,4486620,13071750.0,0.0,9.38
2013,Cerro Gordo,31.0,5444824,24829867,3246410,16654758.0,0.0,21.1
2013,Cherokee,14.0,923533,4244669,2526267,300965.0,0.0,14.05
2013,Chickasaw,12.0,1444738,5717920,4392432,1906479.0,0.0,9.32
2013,Clarke,7.0,1372638,5476120,1466380,8878211.0,0.0,10.32
2013,Clay,25.0,1090044,6876522,2509267,457427.0,0.0,20.22
2013,Clayton,22.0,1947281,7165441,1580535,284528.0,0.0,10.69
2013,Clinton,28.0,3098435,19905060,9028227,121735.0,0.0,8.17
2013,Crawford,15.0,1397619,5732766,4783589,36650.0,0.0,8.88
2013,Dallas,36.0,6218779,31641888,5120648,3685230.0,0.0,9.44
2013,Davis,5.0,388554,2030162,446424,0.0,0.0,9.63
2013,Decatur,5.0,824474,2255201,264056,156326.0,0.0,8.39
2013,Delaware,13.0,1069016,5606423,2229581,0.0,0.0,9.0
2013,Des Moines,27.0,3123038,13486045,1801868,38701.0,0.0,8.97
2013,Dickinson,28.0,2479063,7471699,2695875,223406.0,0.0,8.13
2013,Dubuque,55.0,10670984,30532182,8890282,2087830.0,0.0,8.47
2013,Emmet,10.0,619157,3583411,1181012,1141382.0,0.0,8.07
2013,Fayette,18.0,1040802,6312854,17071507,80642.0,0.0,10.77
2013,Floyd,17.0,1755468,5663596,4346364,242344.0,0.0,9.34
2013,Franklin,15.0,850901,5005663,4262010,777870.0,0.0,8.42
2013,Fremont,8.0,707702,4072297,1176000,9675061.0,0.0,9.87
2013,Greene,10.0,456257,3685357,1211214,89798.0,0.0,27.85
2013,Grundy,15.0,1135417,5621804,5533353,2022588.0,0.0,9.09
2013,Guthrie,11.0,723973,4750699,1188591,8340494.0,0.0,8.63
2013,Hamilton,18.0,1376490,6679232,3343880,3192385.0,0.0,16.95
2013,Hancock,12.0,733096,3515035,3853556,69442.0,0.0,11.78
2013,Hardin,20.0,1184149,7255440,5151734,334245.0,0.0,8.8
2013,Harrison,18.0,1351097,5853375,3520710,103749.0,0.0,8.82
2013,Henry,16.0,1721823,9037938,739264,217466.0,0.0,8.71
2013,Howard,13.0,837042,4665182,3709886,798601.0,0.0,8.64
2013,Humboldt,15.0,783752,4115397,3577708,24328.0,0.0,10.96
2013,Ida,12.0,604480,2817645,2042675,914880.0,0.0,8.41
2013,Iowa,16.0,1884893,6333893,4174091,625737.0,0.0,10.12
2013,Jackson,20.0,1279470,6760832,3256456,50417.0,0.0,8.53
2013,Jasper,29.0,2943408,16114198,3351715,15376591.0,0.0,8.54
2013,Jefferson,15.0,1211705,4220567,1663459,1161752.0,0.0,15.42
2013,Johnson,57.0,9052021,38848448,4947062,5568950.0,0.0,10.85
2013,Jones,11.0,1170119,6368638,2264405,1122.0,0.0,9.77
2013,Keokuk,12.0,748499,4293549,1413410,1385519.0,0.0,8.45
2013,Kossuth,19.0,1473893,7766008,11980132,6167125.0,0.0,11.44
2013,Lee,26.0,3088426,14714657,4940697,509512.0,0.0,12.63
2013,Linn,89.0,16095788,78522584,10154292,5074184.0,0.0,8.45
2013,Louisa,8.0,562226,3757957,663898,241268.0,0.0,9.56
2013,Lucas,10.0,698273,3072648,223647,2102922.0,0.0,9.6
2013,Lyon,13.0,1255451,4670415,2987109,46407.0,0.0,11.27
2013,Madison,11.0,1350772,7058276,6628224,1343939.0,0.0,8.57
2013,Mahaska,16.0,1103673,9214026,3016397,2964623.0,0.0,10.2
2013,Marion,23.0,1609269,12729095,3026030,251475.0,0.0,11.38
2013,Marshall,26.0,2691363,11748586,1565311,1094911.0,0.0,9.26
2013,Mills,10.0,1099372,4215277,2052354,675495.0,0.0,8.52
2013,Mitchell,12.0,915362,3473534,352132,167809.0,0.0,8.57
2013,Monona,10.0,1275044,4157208,3283129,1281363.0,0.0,9.21
2013,Monroe,6.0,427688,3015190,121000,0.0,0.0,11.32
2013,Montgomery,12.0,878628,3796289,1512959,0.0,0.0,8.76
2013,Muscatine,20.0,2108242,13635990,2718418,357949.0,0.0,9.56
2013,OBrien,23.0,1520830,5928896,3023218,185973.0,0.0,10.06
2013,Osceola,7.0,434403,2041939,2489462,44721.0,0.0,8.87
2013,Other,9.0,823587,5363183,681903,478158.0,0.0,12.806823899371068
2013,Page,13.0,799763,3612569,2592547,174107.0,0.0,9.21
2013,Palo Alto,21.0,2892389,8201595,4943780,63713.0,0.0,9.35
2013,Plymouth,9.0,461218,2749985,5693164,71887.0,0.0,9.12
2013,Pocahontas,188.0,42447471,166859941,17734427,65078180.0,0.0,7.84
2013,Polk,66.0,13436163,51966980,9199439,29032160.0,0.0,8.78
2013,Pottawattamie,19.0,3481194,10488431,8594429,14734577.0,0.0,11.1
2013,Poweshiek,5.0,191769,1132064,1610049,66990.0,0.0,12.41
2013,Ringgold,16.0,918130,4595729,2353069,0.0,0.0,18.36
2013,Sac,86.0,8551677,89366399,6344185,54340336.0,0.0,8.82
